   Year,Activity,Activity Type,Mandate Authorising Activity (PSC/Assembly Decision),Main Objective,Target Beneficiary,Country,Region,Outcome, Activity Budget (USD) , Unit ,Directorate,Department,Link to Activity Report
2025,ACDEG Capacity Building,Programmatic,,Support ratification/reporting,Member States,Continental,Increased ratification momentum,ACDEG,Governance Unit,,GCPD,PAPS,159
2025,High-Level Dialogue on Democracy & Governance,Meeting,,Citizen engagement & reparations dialogue,AU stakeholders,Continental,Reparations recommendations,Assembly Decision 934,Governance Unit,,GCPD,PAPS,161
2025,AGA-APSA Citizen Engagement Strategy Launch,Programmatic,,Institutionalize participation,AU stakeholders,Continental,Strategy launched,Agenda 2063,Governance Unit,,GCPD,PAPS,162
2025,Youth Leadership Trainings,Programmatic,,Youth participation in governance,Youth,Ethiopia & Libya,Regional,Youth leadership strengthened,Agenda 2063,Governance Unit,,PAPS,163
2025,AU Principles on Business & Human Rights,Programmatic,Agenda 2063,,,Continental,,Normative framework strengthened,,,,PAPS,167
2025,HRBA Early Warning Training Lomé,Programmatic,CEWS,,,Togo,,48 officials trained,,,,PAPS,168
2025,South Sudan HR Commission Capacity Building,Programmatic,Human Rights Decade,,,South Sudan,,Oversight strengthened,,,,PAPS,168
2025,Reparative Justice Expert Deployment,Programmatic,Transitional Justice,,,Gambia,,Reparations Commission operationalized,,,,PAPS,169
2025,Public Service Charter Capacity Building,Programmatic,Public Service Charter,,,"Kenya, Zambia, Lesotho, Benin, Rwanda",,Governance strengthened,,,,PAPS,171
2025,CAPAR Training Zimbabwe,Programmatic,CAPAR,,,Zimbabwe,,Asset recovery strengthened,,,,PAPS,172
2025,G20 Anti-Corruption Engagement,Meeting,CAPAR,,,Global,,AU priorities integrated,,,,PAPS,173
2025,Establishment of AUSSOM,Programmatic,,,,Mission deployed,,Budget 196M (120M mobilised),,,,PAPS,
2025,MNJTF Support,Programmatic,,,,EUR 20M EU support,,20M EUR,,,,PAPS,
2025,"Strategic Lift MoUs (Nigeria, Cameroon, Côte d’Ivoire)",Programmatic,,,,Air & sealift capacity,,,,,,PAPS,
2025,AU Case Management System Launch,Programmatic,,,,Compliance strengthened,,,,,,PAPS,
2025,ASF Strategic Review,Programmatic,,,,Report adopted,,,,,,PAPS,
2025,Second Abuja Lessons Learned Forum,Meeting,,,,Lessons for PSOs,,,,,,PAPS,
2025,High-level preventive diplomacy engagement (Panel of the Wise),Programmatic Mission,PSC Protocol (Art.11); relevant PSC decisions; ACDEG (where applicable),Support dialogue and political stability; encourage calm and reinforce confidence in nationally agreed political mechanisms,Government and political actors / national stakeholders,South Sudan,Eastern Africa,Confidence-building and constructive dialogue reinforced,Not specified,Panel of the Wise,CMD,PAPS,
2025,High-level preventive diplomacy mission ahead of general elections,Mission,PSC Protocol; ACDEG; AU–COMESA cooperation,Support dialogue and confidence-building ahead of key electoral milestones,"Political actors, electoral institutions, civil society",Malawi,Southern Africa,Early engagement strengthened confidence and dialogue,Not specified,Panel of the Wise (with COMESA),CMD,PAPS,
2025,Post-electoral accompaniment alongside AUEOM,Programmatic,PSC guidance; ACDEG; AU preventive diplomacy approach,Sustain dialogue among political actors and support nationally led mechanisms for continued engagement,Political actors; national dialogue platforms,Malawi,Southern Africa,Dialogue encouraged through nationally owned platforms; institutional continuity reinforced,Not specified,Panel of the Wise / AUEOM,CMD,PAPS,
2025,Pre-electoral assessment mission,Mission,PSC decisions; ACDEG; preventive diplomacy framework,Engage stakeholders and identify areas requiring attention to sustain confidence in the electoral process,Electoral stakeholders; institutions; political actors,Tanzania,Eastern Africa,Early engagement undertaken; areas requiring attention identified,Not specified,Panel of the Wise,CMD,PAPS,
2025,Preventive diplomacy mission in support of AUEOM (presidential elections),Mission,PSC guidance; ACDEG; AU preventive diplomacy approach,Conduct dialogue and confidence-building with political actors and institutions; identify areas needing continued attention,Political actors; institutions; electoral stakeholders,Côte d’Ivoire,Western Africa,Joint debriefings; shared assessments and areas for strengthening identified,Not specified,Panel of the Wise / AUEOM,CMD,PAPS,
2025,Preventive diplomacy engagements alongside AUEOM (elections),Mission,ACDEG; PSC Protocol; coordination with ECOWAS/partners,"Encourage dialogue, restraint and adherence to constitutional processes; coordinate messages with regional actors",National Electoral Commission; political actors; stakeholders,Guinea-Bissau,Western Africa,"Coordinated messaging underscored peaceful, lawful handling of post-electoral concerns",Not specified,Panel of the Wise / AUEOM,CMD,PAPS,
2025,Engagement with national stakeholders (in coordination with Special Envoy),Mission,PSC Communiqués PSC/PR/COMM.1305 (2025) & PSC/PR/COMM.1306 (2025),Support continued dialogue and nationally led efforts for institutional continuity and constructive engagement,National stakeholders; institutions,Madagascar,Southern Africa,Dialogue supported; institutional continuity accompanied,Not specified,Panel of the Wise (with Special Envoy),CMD,PAPS,
2025,Consultative roundtable with civil society actors from different regions,Meeting,PSC guidance on inclusive preventive diplomacy,Listen and reflect; strengthen early-warning linkages with community-level actors; understand evolving dynamics,Civil society actors,Ethiopia (Addis Ababa),Continental,Early-warning linkages strengthened; understanding of social/governance dynamics enhanced,Not specified,Panel of the Wise,CMD,PAPS,
2025,Consultative roundtable with religious and traditional leaders (West Africa and Sahel),Meeting,PSC guidance on inclusive preventive diplomacy,Foster social cohesion and inclusive preventive diplomacy,Religious and traditional leaders,Senegal (Dakar),Western Africa/Sahel,Community-level perspectives integrated; cohesion and inclusion advanced,Not specified,Panel of the Wise,CMD,PAPS,
2025,"16th High-Level Retreat on the Promotion of Peace, Security and Stability in Africa (Reframing AU Mediation)",Meeting,PSC Protocol; applicable Assembly decisions on mediation and preventive diplomacy,Reframe AU mediation; consolidate African leadership and ownership,AU stakeholders; Member States; partners,Egypt (Aswan),Northern Africa,Strategic reflection and coordination on AU mediation advanced,Not specified,PAPS (Mediation),CMD,PAPS,
2025,Onboarding of FemWise-Africa 2nd Cohort (50 women mediators),Programmatic,WPS Agenda; PSC directives; AU mediation and dialogue frameworks,Expand and strengthen the continental pool of women mediators; enhance regional representation,Women mediators; AU mediation processes,Continental,Continental,Expanded pool available for deployment; network re-conceptualisation concluded,Not specified,FemWise-Africa (with GPSP/OSE-WPS/RECs/NeTT4Peace),CMD,PAPS,
2025,Annual coordination engagement on African WPS agenda implementation,Meeting,WPS Agenda; AU gender mainstreaming frameworks,"Review progress, identify gaps, refine context-specific strategies for women’s participation in mediation",Member States; AU stakeholders,Continental,Continental,Coordination strengthened; strategies refined,Not specified,FemWise-Africa / GPSP,CMD,PAPS,
2025,Multi-stakeholder electoral preparedness consultation (women’s political participation),Meeting,WPS Agenda; AU preventive diplomacy approach,Assess barriers to women’s participation and identify priority areas for AU support,Women political actors; stakeholders,Malawi,Southern Africa,Barriers assessed; priorities identified,Not specified,FemWise-Africa / OSE-WPS,CMD,PAPS,
2025,FemWise participation in pre-election assessment mission (VAWP focus),Mission,WPS Agenda; AU preventive diplomacy framework,Assess institutional preparedness and prevent violence against women in politics,Electoral stakeholders; women candidates/voters,Tanzania,Eastern Africa,Gender lens integrated into preventive diplomacy and assessment,Not specified,FemWise-Africa,CMD,PAPS,
2025,"First African Youth Consultation on Mediation, Preventive Diplomacy and Peace Processes",Meeting,WiseYouth Network mandate; AU YPS agenda,Consolidate learning and strengthen youth participation across Tracks 1–3 of mediation,Youth mediation practitioners,Continental,Continental,Youth consultation convened; learning consolidated,Not specified,WiseYouth Network,CMD,PAPS,
2025,High tempo of terrorist activity across Africa; consolidation into parallel authority systems in weak/contested rural and borderland areas.,Analysis,AUCTC mandate; APSA; PSC Protocol (counter-terrorism coordination),Provide continent-wide threat assessment highlighting lethality and governance impacts.,AU policy organs; Member States; RECs/RMs; security stakeholders,Continental,Continental,Threat characterized by increasing parallel governance functions by terrorist groups.,Not specified,AUCTC,CMD,PAPS,
2025,"Key continental CT/VE trends: Sahel territorial expansion & spillover; crime–terror linkages (illicit mining, fuel, narcotics, kidnapping-for-ransom, maritime crime); emerging tech (drones, encrypted comms, AI-generated propaganda, crypto finance); convergence with UCG and political fragmentation.",Analysis,AUCTC mandate; APSA; PSC guidance on CT/VE,Identify cross-cutting trends shaping CT/VE threat environment and operational requirements.,AU/RECs/RMs; security and justice institutions; partners,Continental,Continental,Evidence base for integrated approaches and tech/finance countermeasures.,Not specified,AUCTC,CMD,PAPS,
2025,"Sahel assessed as epicentre; Mali–Burkina Faso–Niger treated as interconnected insecurity ecosystem; intensified JNIM and ISSP competition/expansion (estimated >3,000 fighters).",Analysis,AUCTC early-warning and analysis mandate,Track regional threat dynamics and force posture of key extremist actors.,Sahel Member States; RECs/RMs; AU PSC,Mali; Burkina Faso; Niger,Sahel,Structural erosion of state authority; theatres increasingly linked to coastal West Africa.,Not specified,AUCTC,CMD,PAPS,
2025,Burkina Faso large areas outside Ouagadougou under de facto extremist influence; Niger border corridors contested; extremist mobility links Sahel to coastal West Africa.,Analysis,AUCTC early-warning and analysis mandate,Assess extent of territorial influence and spillover risk.,Member States; RECs/RMs; AU PSC,Burkina Faso; Niger,Sahel / Coastal West Africa,Signals deepening structural insecurity and increased cross-border mobility.,Not specified,AUCTC,CMD,PAPS,
2025,"Mali: JNIM economic warfare and coercive encirclement of Bamako by interdicting fuel/supply routes (notably from Senegal and Côte d’Ivoire), leading to nationwide fuel crisis and secondary impacts.",Analysis,AUCTC monitoring and early-warning mandate,Monitor high-risk scenario indicators and cascading socio-economic impacts.,Government and population of Mali; regional partners,Mali,Sahel,"Fuel crisis triggered school closures, economic contraction, and reduced diplomatic presence.",Not specified,AUCTC,CMD,PAPS,
2025,"AUCTC early-warning outlook: if trajectories persist, 2026 may see prolonged isolation or partial takeover of a Sahelian capital by non-state armed actors/terrorist groups; calls for more coherent regional approach.",Early Warning,AUCTC; CEWS linkage; PSC guidance on early warning/early action,Flag potential high-impact scenarios requiring preventive diplomacy and coordinated response.,AU PSC; Member States; RECs/RMs,Sahel region,Sahel,Early-warning triggers emphasize need for inclusive regional cooperation to address root causes.,Not specified,AUCTC / CEWS,CMD,PAPS,
2025,"Spillover into Gulf of Guinea: Benin, Togo, Ghana, Côte d’Ivoire infiltration along forested borderlands, artisanal mining zones and marginalized coastal communities; strategy to secure logistics hubs, recruitment pools, maritime trafficking access.",Analysis,AUCTC analysis and regional coordination mandate,Assess southward expansion vectors and protection needs for coastal states.,Coastal West African Member States; communities,Benin; Togo; Ghana; Côte d’Ivoire,Coastal West Africa,Indicators point to deliberate logistics and maritime-access strategy by extremist networks.,Not specified,AUCTC,CMD,PAPS,
2025,"Other theatres: ISWAP & Boko Haram resilient around Lake Chad via control of local economic ecosystems; ADF/ISCAP entrenched in illicit minerals in eastern DRC; Al‑Shabaab maintains fiscal autonomy, territorial depth and cross-border reach.",Analysis,AUCTC analysis mandate; AU counter-terrorism frameworks,Provide multi-theatre threat update to inform AU/REC action.,Affected Member States; AU/RECs/RMs; partners,Nigeria; Niger; Chad; Cameroon; DRC; Somalia,Multi-region,Confirms continued resilience and sophistication of multiple extremist organizations.,Not specified,AUCTC,CMD,PAPS,
2025,Structural drivers underpinning CT/VE: governance fragility; youth marginalization; climate stress/displacement; crime–terror nexuses; weaponized information ecosystems/digital manipulation.,Analysis,APSA/AGA prevention frameworks; AUCTC analysis,Highlight structural prevention priorities beyond kinetic responses.,Member States; AU organs; partners,Continental,Continental,Reinforces need for systemic interventions addressing root causes.,Not specified,AUCTC,CMD,PAPS,
2025,"Normalization of technology-enabled terrorism: drones, encrypted platforms, AI-generated propaganda/disinformation, crypto-assets & mobile money financing; disinformation intersects with elections and communal tensions.",Analysis,AUCTC; CEWS; relevant AU cyber/digital frameworks,Assess emerging-technology threat vectors and implications for CT operations and electoral security.,Security agencies; electoral stakeholders; communities,Continental,Continental,Complicates CT operations and erodes public trust; increases need for digital resilience.,Not specified,AUCTC,CMD,PAPS,
2025,Consultative validation workshop (expert level) adopted the Draft Continental Strategic Plan of Action on Countering Terrorism in Africa (2026–2030 framework) at AUCTC HQ in Algiers with RECs/RMs.,Meeting,AUCTC mandate; AU procedures for strategic plans,"Validate strategic pillars, operational priorities and monitoring architecture against regional realities before political endorsement.",RECs/RMs; AU organs; Member States,Algeria (Algiers),Northern Africa,Technically robust and implementation-ready draft prepared for submission for political adoption.,Not specified,AUCTC,CMD,PAPS,
2025,"Commissioning of Continental Study on implementation of WPS in Africa (25th anniversary of UNSCR 1325) in partnership with UN Women, GIZ and NeTT4Peace.",Programmatic,UNSCR 1325; AU WPS framework; PSC directives,"Provide evidence-based evaluation of 25 years of WPS progress, gaps and recommendations (policy, financing, accountability).","AU, Member States, RECs, partners; women and girls affected by conflict",Continental,Continental,"Study to inform forward-looking WPS policy and programming amid emerging threats (digital insecurity, climate, violent extremism).",Not specified,Office of Special Envoy on WPS (OSE-WPS),CMD,PAPS,
2025,"Regional consultations grounding the Continental WPS Study, including five regional dialogues integrating CSOs, women’s networks and academia.",Consultation,PSC directives (2021; Nov 2023); UNSCR 1325,Ensure inclusive evidence base and diverse perspectives for WPS study; respond to PSC directives on collaborative platforms.,Member States; RECs; CSOs; academia,Continental,Continental,Inclusive consultations completed to inform study findings and recommendations.,Not specified,OSE-WPS,CMD,PAPS,
2025,Inter-Continental Knowledge Exchange & Dialogue in Algiers launched the Annual AU Forum on Women in Security Sector Leadership; also advanced Community of Practice on Integrating Gender in Early Warning Systems with RECs.,Meeting,PSC directives (2013; 2017); AU WPS agenda,Advance women’s meaningful participation in military/police leadership and institutionalize gender integration in early warning.,Member States; RECs; security sector institutions; early warning actors,Algeria (Algiers),Northern Africa,Flagship annual forum launched; preventive capabilities strengthened through gender-in-early-warning community of practice.,Not specified,OSE-WPS / RECs,CMD,PAPS,
2025,High-level Windhoek meeting hosted by Namibia to mark 25th anniversary of UNSCR 1325; adopted Windhoek+25 Declaration.,Meeting,UNSCR 1325; AU WPS agenda,"Reaffirm commitments to institutionalize women’s roles in peace processes, predictable financing, youth engagement, and gender integration including climate security.",Member States; AU; WPS stakeholders,Namibia (Windhoek),Southern Africa,Windhoek+25 Declaration adopted as forward-looking framework for next 25 years of WPS in Africa.,Not specified,OSE-WPS,CMD,PAPS,
2025,Nigeria WPS recovery initiative: vocational training and start-up equipment for 250 women in conflict-affected communities in Maiduguri.,Project,UNSCR 1325 NAP support; AU WPS recovery pillar,Support relief/recovery pillar of UNSCR 1325 NAPs via livelihoods model ('training + tools') to enhance resilience.,Women from conflict-affected communities,Nigeria (Maiduguri),Western Africa,Livelihoods strengthened; end-of-year assessment planned to document replicable impact model.,Not specified,OSE-WPS,CMD,PAPS,
2025,"Guinea Conakry WPS localization project mobilizing religious/traditional leaders, media, and youth networks to promote women’s participation in governance.",Project,UNSCR 1325 NAP support; AU WPS agenda,Localize UNSCR 1325 NAPs and strengthen grassroots ecosystem supporting women’s participation.,Women political participants; local influencers,Guinea (Conakry),Western Africa,Grassroots support mobilized to increase women’s participation and protection.,Not specified,OSE-WPS,CMD,PAPS,
2025,Launch of Digital Continental Results reporting platform for Member States to report on WPS NAP implementation (for 2024 reporting).,System/Tool,UNSCR 1325; AU WPS reporting framework,Facilitate easier and effective reporting and accountability on WPS NAP implementation.,Member States with WPS NAPs,Continental,Continental,Digital reporting platform operational to strengthen WPS accountability and learning.,Not specified,OSE-WPS,CMD,PAPS,
2025,"6th High-Level Africa Forum on Women, Peace and Security convened with Tunisia; adopted Tunis Declaration and Call to Action.",Meeting,UNSCR 1325; AU WPS agenda,Commemorate 25th anniversary of UNSCR 1325 and strengthen WPS implementation; promote operationalization of OSE-WPS.,Member States; AU; partners; WPS stakeholders,Tunisia,Northern Africa,Tunis Declaration adopted; call to strengthen OSE-WPS structures/resources/mandate.,Not specified,OSE-WPS,CMD,PAPS,
2025,"Expansion of YPS National Action Plans: Burundi, Malawi, The Gambia, Liberia, Cameroon launched YPS NAPs (joining DRC and Nigeria; total 7).",Programmatic,Continental Framework on YPS (CFYPS) and 10-Year Implementation Plan,"Institutionalize Youth, Peace and Security frameworks at national level.",Youth; Member State institutions; peace and security actors,Burundi; Malawi; The Gambia; Liberia; Cameroon; DRC; Nigeria,Continental,Seven Member States with YPS NAPs; additional states initiated/advanced NAP development.,Not specified,Youth for Peace Africa / Y4P,CMD,PAPS,
2025,Validation of Guidelines for Development of YPS NAPs through PSC Committee of Experts.,Policy/Guideline,CFYPS; PSC oversight,"Provide practical guidance on inclusive processes, sequencing, and results-based monitoring for YPS NAPs.",Member States developing YPS NAPs,Continental,Continental,Guidelines validated to strengthen national implementation capacity.,Not specified,Youth for Peace Africa / Y4P,CMD,PAPS,
2025,Youth participation in AU Election Observation Missions: ~30% of observers were young people (including AYAPs); WiseYouth members deployed to preventive diplomacy missions in electoral contexts.,Programmatic,AU electoral support mandate; CFYPS,Integrate youth perspectives into observation and preventive diplomacy for conflict prevention and early warning.,Youth observers; electoral stakeholders,Multiple countries,Continental,Youth perspectives systematically integrated into AU peace efforts.,Not specified,AYAPs / WiseYouth,CMD,PAPS,
2025,"First Sudanese Youth Dialogue Forum hosted in Kampala, Uganda, to inform the Inter-Sudanese political process.",Meeting,CFYPS; AU preventive diplomacy,Ensure youth perspectives inform political process and peace efforts on Sudan.,Sudanese youth; mediation stakeholders,Uganda (Kampala),Eastern Africa,Youth inputs integrated into Inter-Sudanese political process.,Not specified,Youth for Peace Africa / Y4P,CMD,PAPS,
2025,Validation of Operational Guidance Note (OGN) on Operationalising Child-Sensitive Early Warning to integrate child indicators into CEWS.,Policy/Guideline,CiSC Programme; APSA; Agenda 2063/2040,"Mainstream child-sensitive indicators, analysis and reporting into CEWS and preventive diplomacy.",CEWS; RECs/RMs; child protection stakeholders,Continental,Continental,Operational guidance validated for actionable child-sensitive early warning.,Not specified,CiSC Programme,CMD,PAPS,
2025,Review of AU Child Protection Harmonised Curriculum (2019) aligned with AU Policy on Child Protection in Peace Support Operations (2022).,Capacity Building,AU Policy on Child Protection in PSOs (2022),Update training to address gaps in scope/methodology and ensure comprehensive child protection training for missions.,T/PCCs; mission personnel; trainers,Continental,Continental,Curriculum review adopted module-focused multi-expert approach.,Not specified,CiSC Programme,CMD,PAPS,
2025,"Capacity-building for CSOs on child-sensitive, trauma-informed reintegration/rehabilitation of CAAFAG; and for mediation support experts (FemWise, WiseYouth, CSOs) to integrate child protection into mediation; validated proposed AU Guidelines for Child Participation in Mediation and Peace Processes.",Capacity Building,CiSC Programme; AU child protection instruments,Strengthen technical skills and mainstream child protection in mediation and reintegration processes.,CSOs; mediation support experts; children affected by conflict,Continental,Continental,Enhanced capacities; child participation guidelines validated.,Not specified,CiSC Programme,CMD,PAPS,
2025,Capacity-building for Africa Platform on Children Affected by Armed Conflict (AP-CAAC) Focal Points; produced 2026 advocacy roadmap and workplan.,Capacity Building,CiSC Programme; AU CAAC mandate,"Equip focal points to mainstream child protection, guide decision-making, and strengthen advocacy.",AP-CAAC focal points; AU Ambassadors; national stakeholders,Continental,Continental,2026 advocacy roadmap/workplan developed; focal point capacities strengthened.,Not specified,CiSC Programme / AP-CAAC,CMD,PAPS,
2025,Support to three PSC Open Sessions: combating recruitment of children; rehabilitation/reintegration of CAAFAG; protection of children in armed conflict.,PSC Support,PSC decisions; AU child protection frameworks,Elevate political engagement and reinforce Member State obligations on child protection.,Member States; PSC; child protection stakeholders,Continental,Continental,Strengthened preventive and response measures encouraged across national and regional levels.,Not specified,CiSC Programme,CMD,PAPS,
2025,"Launch of reaffirmation of Ghana–Côte d’Ivoire shared land boundary through placement of boundary marker (ceremony in Newtown, Ghana).",Field Activity,AUBP; Niamey Convention; Agenda 2063; AfCFTA,Support boundary reaffirmation and community engagement to reduce territorial tensions and strengthen stability.,Border communities; boundary institutions,Ghana / Côte d’Ivoire,Western Africa,Boundary reaffirmation launched; peaceful coexistence and dispute-resolution mechanisms reinforced.,Not specified,AU Border Programme (AUBP),CMD,PAPS,
